idx,sentence,label
11,"My son is 13. Seems to be right at his age level. One minor typo in the first lesson took us a while to solve but other than that, he is enjoying it.",1
13,Mr. Job has created an eye popping accounting of the risks we all assume when boarding a modern jet aircraft. The inclusion of photographs and sketched graphics along with crew conversation transcribed from cockpit recorders drew me into the unfolding disaster as if I was one of the doomed passengers. This work does an effective job of describing the technical analysis of the failed components or the human error induced by the flight crew. I recommend this to the interested laymen and professionals involved in this kind of work.,1
15,"I found that it did nothing to keep my dogs from barking. Even though I placed it in close proximity to where they bark, it did not work at all. My daughter however, complained that it botheres ""Her"" ears.",0
17,"Anne George has produced yet another priceless adventure of the two sisters from Birmingham. I love the great southern expressions, the food and the humor. You laugh out loud at the perfect turns of phrase, the great characterizations and the wonderful husband-wife relationship.",1
18,This book is probably one of the best books I've ever read. He grabs your attention from page one and doesn't let go till the last page. I think he's the best fantasy author I've read in a long time.,1
19,"Not much to add to the other reviews. I've had this nearly a year, and it has been the most helpful item in our kitchen after the Vita-Mix. I've filled this thing up with pots and pans to the point where we only have a cast iron skillet, a steamer, and a small sauce pan in our cabinets, leaving us precious room for appliances, containers and, of course, food.If you're limited on space, but have room to hang this in your kitchen, you will not regret the purchase.",1
21,"Really impressed with this Knife, the motion is very addictive and with it's lightweight design it's not cumbersome in your pocket. It's now become my everyday carry knife!",1
22,"Couldn't find these in any store in Boston or NY. This was perfect, even though it was a very large amount.",1
23,Very happy about the purchase. It is in brand new condition. I received it two days before it was even expected!,1
24,"""Beautiful Girls"" is one of my all time favourite movie. One of the many reasons why this is so is because of the classic songs found in the movie. So needless to say I wanted the soundtrack. I was so disappointed, as many of the songs featured in the movie are missing, including ""I Run (So Far Away)"" by the Flock of Seagulls, ""Locomotive Breath"" by Jethro Tull, ""Fool To Cry"" by the Rolling Stones, and others. Not a very good selection.",0
25,"It arrived quickly, in perfect condition. Just as advertised. :) I have no complaints.",1
26,I NEVER FIND THIS MUCH HOPLESS AND BOARING TOY.THIS IS WASTE OF MONEY AND ALSO WASTE OF TIME.IT IS UNBELVIABLE.,0
27,"This calculator disappointed me. When doing almost any calculation I must push far more buttons than on any other calculator I have used.A few examples:Why do x2, sqrt etc have to be followed by a =?.If you push for example + in error instead of -, you must back up and delete the + before you push -, otherwise you get a syntax error.Some of the most common functions are secondary functions.I prefer HP's calculators to any calculator. I don't expect the same user friendliness from a TI calculator but this one is irritatingly slow and wastes too much time.I cannot recommend this calculator.",0
28,"This was a gift for my sister, and she was very pleased with it at first. However, she hasn't even had it for a month yet, and it snapped right in half! I'm very unhappy about this purchase.",0
30,"OK, so we have many readers praising these findings and a couple of Dentists attacking them. How about some proof??? Are there any later studies, using newer research methods,that tries to replicate Dr Prices results? Any studies tracing the long term health history of of a population of root canal recipients vs the health history of a second population that never had a root canal? If not, then the initial round has to go to the sympathisers with Dr Price. I would love a good rebuttal to Price but a dentist's rant that is not based on independent scientific findings is just not gonna cut it.",1
31,This was my first Zoya nail polish. The formula was good - 2 coats for complete coverage. The halo sparkles were more subtle than I expected and it does require a top coat to keep the glassy-shine. All in all a good polish.,1
33,"I think all Tim Buckleys output is great inc sefronia (Greetings From L.A being one of my favourite albums of any one), but cannot get in to this twaddle. No rhyme, no sense no tune (do I like the music ?,No. Am I doing a thesis on musical progression? Mmm very clever). I can see the emperor has no clothes but is stripped naked and look at the fool. Can any one say they put this on and really enjoy rather than just talking bol###cks about his experimentation etc",0
34,In a world where we have become desensitized by the brutality we see on our screens this is refreshingly honest.,1
35,"The best Coen Film yet made, which puts it among the best ever made.There are more moments of genius in Miller's Crossing than one can count. The ""Danny Boy"" scene wherein Albert Finney establishes that he is still "" . . . an artist with the Thompson"" is so effortlessly grand and brutal that it rivals any scene in any film from any era. The Coens have the best collective ear for dialogue and the most economical sense of visual story telling of any filmmakers who ever lived. Simply the best.",1
36,"This scanner and software is fine if you only use XP, but I bought this 2 years ago, about the time Vista was coming out so I thought HP would make it compatible with Vista. No such luck, HP wrote the software for XP and then dumped support. They half attempted to write a driver for Vista but it is slow and you can't use HP software, so now I have to stay with XP. This will probably be my last HP purchase.",0
37,"I Gave This Game 2 Stars Because Of Good Graphics and Good Entrances That's It. I Don't Know About anybody Else But For Me What Matters Is Gameplay, and This Game Does Not Have Quality Gameplay. I Strongly Dislike The Fact That You Have to Get The Crowd to Cheer For you, So That you'll Be Able Do Your Special Move. As One Reviewer Said if you Hit your Opponent With A Chair So Many Times They'll Begin to Cheer For Them! What Baffles Me Is Why You Unlock Clothing, For Creating a Wrestler is One Thing But Using It For A Weapon Is Positively Ridicoulus! (Example Beating Someone Up With a Bandana Or Sunglasses) Here are Some Other Things In The Game That Annoy Me:1. You Can't Put People or your Created Wrestlers In Stables2. You Can't Have your Manager Come Out with you3. Not A Wide Selections Of Moves, Taunts, and EntrancesFinal Analysis: Do Not Buy This Game, No Matter How Much your Craving a WWF Game!",0
39,"I ordered the bag of 1000 of these. They sent me 18 of them. Then they refused to answer my emails.Do yourself a favor, buy from someone else, it will save you headaches in the long run.",0
41,"We purchased this video to watch on our Sony Bravia 3D tv. It comes with a ""3D"" DVD and the regular DVD. It also comes with 3 ""3D"" glasses. If you try to watch this video using your personal 3D glasses this picture is distorted and there is a large red shadow around everything. If you use the glasses that came with the movie, it takes away the red effect, but it is not 3D and you can only see out of one side of the glasses. Horrible! We took it out and watched the regular version. The video itself without the 3D is amazing. A fantastic Christmas movie.",0
42,"Domino will jerk you from side to side, but you'll like the treatment. The cast's performance is top-notch, and Keira Knightly brings a presence to the screen fitting of a unique woman with an unusual taste for the less desirable things of life. A creative diversion from typical cinema, Domino takes the audience on a journey into a woman's world seldom entered and understood. Directing, writing, acting and editing were excellent. The score also keeps the viewer on track with the direction of the film's progress. Even if you don't like roller coasters, this one's definitely worth the ride.",1
43,"Like the others, I wish the red LEDs would go off after charging, but eh... what can you do? Otherwise, it does what its supposed to.",1
45,"I loved this story, it shows the fall of one of DCs greatest heroes, and the rise of a new one.Basically, Hal Jordan is so distrought after Coast City has been destroyed, he tries to re-create it. The Guardians then try to punish him for this act, and Hal goes crazy.This TPB covers Green Lantern #47-#52, and half is Hal Jordan's fall, and the other half is Kyle Raynor's rise.The only reason I didn't give this a five is because it may not appeal to someone who isn't a casual Green Lantern fan. But it is very good even if you aren't.",1
46,My daughter uses this lamp on her desk in her room while doing homework. It provides a great amount of light so that she can adequately see to do her work without straining her eyes. I'm thinking about ordering the floor version and placing it near my bed for reading at night.I would definitely recommend this product.,1
47,"I purchased this cd and listened to it twice. It was hard to hear the songs, I loved growing up, turned into techno trash.This is nothing new. If David wanted to try a new style of music, then he should have written something new. Seeing him perform this live was even more painful. David has always been a leader so why is he following a prerecorded beat. We all make mistakes David. We still love you and can't wait until you stop rehashing the past, with a twist and give us some new David Cassidy tunes. Would love to see him record ""Hush"" and ""Common Theif"". He does them in concert and they are wonderful!!David Cassidy = sexy, soleful and intimate. This new cd is none of those!",0
48,"This film is Iñárritu's most outstanding work. However, viewers should be aware that it may be very violent and disturbing for animal lovers. I am a dog lover and found many of the scenes to be gruesome. With that being said, one must view the film considering various cultural aspects. While I suspect the film's claim that no dogs were harmed in making the film is not entirely true, from a creative film-making standpoint it is a masterpiece.",1
49,"Yes, this is a mystery but not just about crime or murder...this is a mystery about ""family"". Those distinctive and memorable characters present wonderful ensemble work, and each clue, carefully put through the book, takes you to the last page without stopping, and it makes you think about your own family, including ""in-laws"", again but not the same way anymore...",1
50,We use it and love these lawn mover. Very easy to start and to move. The only problem was the bag but lawn boy sent us out a new one.,1
51,"Overall, I thought that the Poisonwood Bible had a great plot, although I thought that the beginning was slow. It would have been nice to have a background on the Price family living in the US. It also would have been nice to see their reactions to their father's demands. I thought that each character in the book was excellently portrayed. No character was the same as another, and their emotions and feelings were obvious and realistic. I enjoyed the author's writing style. Although, sometimes it was boring, especially in the beginning. Sometimes she was too descriptive, and other times, she was not descriptive enough.",1
52,This DVD was everything that I expected and more. The representations in the video reflected dynamically God's miraculous hand on Israel. we were truly moved.,1
53,"This is such great music. I've been listening to Nightnoise for years..it's like a sound tract to my life! It breaks my heart that the musicians are not still working together, but boy, when they were together they were absolutely the tops in their field! This compilation has some of their best, give it a listen...you won't be disappointed.",1
54,"The Gulf Islands of British Columbia is the setting that binds this series of short stories together with the comic friction provided by an eccentric cast of locals. The stories themselves are surprisingly short, often only a few pages. The comedy is of the heartwarming Andy Griffith Show school of humour: all Opie, Aunt Bee and Barney Fife with Canadian accents and island problems. Generally, the plots focus on the various misunderstandings between characters with a rose-coloured tinge. Island idyllism through and through. But funny.",1
55,"I found that the explanations within the workout were unneccesary and should have been done at the beginning or end of the tape. It breaks your concentration to be interrupted to watch instruction on a pose that you could have learned otherwise.Also, too many props needed to do this workout and not enough time to set them up between poses.",0
56,"I've enjoyed going through this book and working out some of the parts. Some of the time signatures/changes were eye-opening, as you can get lost at times trying to decipher certain Rush tunes (well I know I do anyway).On the downside, a lot of it has been simplified - kind of like a ""Here is the basic idea of what's being played"" attitude (The Trees for example). There are occasional mistakes which I can live with, but some of it is flat wrong. Check out the beginning of Natural Science (""Wheels within wheels in a spiral array"") - if you listen to the song while following the transcription, you will see that what is written is wrong.Overall I'd recommend this book - is there such a thing as a BAD drum book?",1
57,"This was purchased for a our local library. Can't comment on the item itself, as I haven't used it. But shipping was fast and batteries were in the condition promised.",1
58,"i expected one cd with hits, another with great remixes. what a disappointment ! first cd is okay with hits, but not all and it features also forgotten songs that aren't really hits ! then second cd is a totally disapointing one ! the remixes are short versions ! what can u expect when it fades at the right time ? then, the original versions of hits remixed are not there.... no original version of queen of the night, always better than this foolish shorten remix. indeed, a bad point for this cd. could have been great like this : 2 cds of greatest hits and 2 cs of long versions of remixes !",0
60,"I agree with most of what the prior reviewer had to say, I was just overall less enthusiastic. Nothing really new. A much better journalistic exposition of the subject is still Hersh's ""The Samson Option"".",0
61,"This book proved to be an excellent history of the East Germansecret police force, the Stasi. The author was able to use documentation obtained after the fall of Communist East Germanyto verify the information in this book. You are given details of the tactics that were employed by the Stasi. The author givesfrightening closeups of the control that the Stasi had over the citizens of East Germany. You are also shown the interworkings of the Stasi with various terrorist groups. You are also told of their dealings with Carlos the notorious terrorist. The background and biography of the leader of the Stasi are also highlighted. This is one of the better books that you will find on the Stasi. Buy it and read it.",1
62,"Although aimed at children, anyone interested in King Arthur and his legend will enjoy this spectacular tale. When young Wart (Arthur) meets the wizard Merlin, he begins to learn what it's like to be a king...when he meets the Mad Madam Mim, he almost learns what it's like to be dinner. The only let-down is the inconsistency in Arthur's voice - at least 2 actors played the part - one of whom sounds far more Californian than old English.",1
63,"HOOBASTANK and their Sophmore Album ""The Reason""...What The Hell Is This Crap Anyway? This is NOT the Hoobastank that gave us songs like ""Pick up the Pieces"" and ""Running Away"", it's a Hoobastank that has managed to bore us to death with their long awaited second release. I'll admit, ""Out Of Control"" was a pretty cool song before it got played out by radio, but almost every other song on here sucks. They all talk about the same boring subject over and over again, and the 12 tracks put it one step above ""The All American Rejects"" in snooze factor 5. This is NOT what alt. rock is about, at all, and anyone thinking about getting this album should Re-think that A.S.A.P...get ""catalist"" by NFG instead.",0
65,"I don't see what the other reviewers see in this game. The graphics are o.k., but it's crap! I played a level where Peter helps free Edmund from the White Witch, and stabbing the Cyclops' and Minotaurs doesn't hurt them, but picking Edmund up by the neck and swinging him around like a club OBVIOUSLY hurts them! CRAP! And also, the characters mouths don't move when they talk! Either they're very good ventriloquists, or the creators of this game were too lazy! I would only recommend die-hard Narnia fans rent it, and see if it's any good. And trust me, this game isn't scary! ( I mean, (...) but only 7,8,or 9 year olds could be scared by this, this,this, CRAP!)",0
66,One time before i was walking down the street and this green monkey from egypt savagely attacked me with a pogo stick.,0
67,"I was in the market for a webcam that can clip on my laptop. Well needless to say I am still in the market for one because this was terrible product. Dark pictures were only the start of it. When used as a webcam the fps rate seemed very low and the picture quality was just bad, color saturation and resolution. The included software could've been better too.",0
68,"Like them. Very lite and comfortable. Dry. I'm a now-and-then day-hiker and had only worn them once in the woods. There was a problem of soreness under the top, inside gromets on both boots. Got a suggestion of re-stringing the top gromets from my daughter-in-law, and it worked when I wore them all day running around locally. Suggest including some alternative stringing techniques in shoe boxes.",1
69,"OK. You may have first been attracted to Hoku's music when you first heard her sing in legally blonde 1. Her ""Perfect Day"" Song is ultra-super-fantasticly cool, don't get me wrong. But checking out her other songs.......P.U.!!!!! She is basically just another teen trying out her abilities at the microphone.",0
70,"This product is good for what it does but it was not at all helpful for my purposes. I purchased it to time speeches/talks of colleagues. I quickly found that any button you press on the timer beeps so loud that it is very disruptive, distracting, and nerve-racking to the speaker and audience listeners. It would be very helpful if the timer had an optional ""mute"" button, but for only [a little], what could I expect? So overall, I would say the timer is OK for jogging, cooking, or other activities where noise is not a factor but DON'T dare use it in your local library or church! Hope this is helpful for future buyers.",0
72,Performs well resting or not vigorously exercising. Does not give a heart rate reading while exercising.I returned it to Amazon and received a full refund.I then purchased a Mio Ultimate Heart Rate Monitor Watch. I am not pleased with the performance with this watch either. I'm giving it another try. Please read my review for this watch.,0
73,Arrived on time and it was a great price and I will take a look at it in the future,0
74,"I purchased a Klean Kanteen sippy cup (original steel color) for my toddler and after about six months of use I find it to be the best sippy cup we have tried. It does leak a bit when my son is determined to shake the liquid out, but other than that I trust that if I toss it in my bag I will arrive at my destination with dry contents. The only problems we have experienced is with cleaning. My husband put it in the dishwasher once (the product info warns against this) and water got into the inner insulating area of the bottle and we cannot get it back out. The bigger problem though is that after putting juice (mixed 1 part juice : 4 parts water) in the bottle we started getting some black mildew growing along the inside of the sippy/lid component. We have scrubbed it with a small brush, soaked it in vinegar, etc and have not satisfactorily removed the mildew. Searching for a replacement lid now, but they are very hard to find.",1
75,"Talk about disappointed! I have subscribed to the Kindle edition for five months. The AJC, in their infinite wisdom, stopped delivering the hard copy edition to my area in January. The Kindle edition was a godsend! For a while!Lately, the Kindle edition has either been late or not provided at all --like this past Sunday and Monday. I refuse to allow the AJC and Kindle to continue to abuse me. I have canceled my subscription. For the first time in about 37 years, I will not be receiving the AJC. Their loss, not mine. I'll read the NYT on-line!",0
76,This alarm clock is small and easy to read. I especially wanted the nature sounds that had adjustable volume as I wake easily and also like the M-Ffeature.,1
78,"Putting this kit together is a little bit tricky, but if it was too easy it wouldn't be as much fun. This would make a great gift for a begginer. I just bought another one for my niece.",1
79,"I like the style, it fits me perfectly and the quality is great. My mom ordered another black pair when she saw mine.",1
81,"This is as lame as it gets. After a decent debut several years back, Nelly is ruining his own career by releasing super-lame rap/r&b like ""My Place"". Nelly's sing-song rap verses just don't work anymore, and the song tries to be smooth with Jaheim (who?) on the hook, but it fails miserably because of the lame subject matter - run-of-the-mill crap about women: can't Nelly rap about anything else? Look elsewhere for good rap/r&b, this isn't it.",0
85,"I can't tell you how disappointed I was to learn that this is not the colonge I ordered. Yes, when ordering it stated that ""packaging may vary"" well it would have been very helpful to also add that ""fragrance is not the same as original""",0
86,"I would not buy Sango products from Amazon if I were you. Their supplier is terrible. There is nothing wrong with Sango products, it is just that Amazon and the supplier do not care about product quality or customer happiness.The first set that I received had bubbles in the glaze and it was easy to send it back. However, the second set I received came broken. Things like this do happen in the mail, but what upset me was the fact that there were wrapped up pieces and notes from a previous customer. What this told me was that the supplier was sending out already returned broken items and trying to pass them off as new. I brought this to Amazon's attention twice and all I received was a generic response. I recommend you buy your Sango products elsewhere.",0
88,"Sherry knows Photoshop and explains all the ins and outs and how Photoshop does its magic. Very indepth and most areas covered. Highly recommend from intermediate to advanced users. On the other hand....Chock full of mistakes and even the experienced user will get frustrated. Wrong keystroke commands throughout; images on CD not matching the described examples; missing steps in the tutorials. This is the second Waite Group book I have purchased recently and the other is just as poorly edited. Personally, the amount I learned out-weighed the cons, but my frustration factor still remained high throughout. And the online version has no corrections made to it. I've also had problems with access to the online stuff and have given up on using it at all.",1
89,"I was really excited to get this and it seems to be a good product, but my little chihuahuas don't have strong enough tongues to get any water out. They lick and lick and nothing happens. I'm giving it to a neighbor who has a bigger dog.",0
90,"This game has many things going for it, but I am not going to itemize those things. The reason I rated this game 2 stars (and subsequently cancelled my pre-order) - was solely because of the RIGHT THUMBSTICK. It infuriates me to no end that I must press (the RIGHT THUMBSTICK) RIGHT to look LEFT and vice versa. It boggles my mind that there is no menu option to reverse the polarity. Prisoner of War - has the same exact flaw. Let me be as clear as I can (in the hopes that video game programmers are reading). All players want the most ""intuitive and flexible"" controls possible - so that they can become effecient at killing bad guys. Pressing RIGHT to look LEFT will NEVER EVER EVER be intuitive for me. Please AGREE with this comment so that we send a BIG message to the video game makers. HALO's controls are perfect - don't reinvent the wheel!",0
91,I love Bruce Campbell and was happy with the price so I jumped on ordering! It was shipped in good time and in good condition! Thank you!!,1
92,"Perfect for photo printmaking process.. strong pigment and writes on anything necessary for this process. Yes, I would buy this product again.",1
94,"If you like Weird Al, this is another of his great albums. This album has several of his original music in addition to the parodies of songs that he is well known for.",1
95,"I love this ball... It's just the right size for me. And can hold me... Its probably a bit small but it makes it a bit harder for me.I agree that the plug is a bit of a hassle to get out, but if you work at it. It will come out.",1
96,"A practical solution for shovels, rakes, and other yard tools. It is narrow enough to fit snug against the garage wall near the roll-up door without being in the way of vehicles and foot traffic. It's handy in that spot for me. The end of the unit has a spot for winding up extension cords and I have most of my yard tools, cords, dust pans, brooms, mop and paint extension handles stored in it now! I love it. Would highly recommend it.",1
97,"Any Burning Man experience from any year thus far has way more to offer than these guys ever considered bringing to the camera.It seemed like most of the movie was the filmmakers interviewing themselves about Burning Man. All of that pointless crap should have been cut out of the movie! (Or, maybe just kept in this version for their mothers, who may never tire of their cute little faces.)""Burning Man Festival-Special Edition"" by Joe Winston is a serious look at the real thing, and far more enjoyable.",0
98,I LOVE these books. The characters are written so well and you feel like you are getting to know them as you read. the stories are inspirational and show an example of the love of God all throughout the books. You HAVE to read these books.,1
99,"Did not care for this film. It was very corny and I could not take it seriously at all. I know it is a zombie flick, but there was no level of realism at all.",0
100,This is an excellent CD that has something for everyone. Makes you wanna dance and sing along.,1
101,"Thanks, arrived on time! I orderd it in january, found out they were out of stock when the company emailed me. They said I had to submit a new order but along with that they gave me a couple promo codes for a 15% discount and another for free shipping, only got to use one of them but they were real helpful and on top of it. I never had to inquire about anything. I ordered again in Febuary and came right away, no problems.",1
102,I like them until they just stopped working soon after I purchased them. Not reliable....,0
103,"After raving to my friends and family about how Damages was the best drama on TV, I finally get to see season 4 on DVD and what do I find: a once-great show cast into the very morass that the US is sick of (and for good reason): Afganistan, Abu Grav (sp), torture, and everything else that Dick Cheney holds so dear. If people are fed up with our involvement in MidEast wars, sickened by waterboarding and other acts that we have punished armies of other countries for, and all the related bullshit, why on earth would we want to pay to see more of it on TV. What a waste.I'm trashing the DVDs I bought and saying good riddance to a show that I used to love.WAKE UP producers and writers!!! We hate this shit.",0
104,"It seems like a lot of people are complaining that Staind has gone soft. But a lot of people also mention how Staind is fake, with the unreal depression. I don't know the band, I won't defend Aaron Lewis saying his depression was all an act, but I'm at a rather severe loss for finding that fake side on this album.Regardless of whether or not it's an act, Staind has tried something new, instead of following the same old direction that most ""metal/nu-metal/hard-rock/whatever you want to call it"" bands are going in.Personally I found this more quiet ballad-filled album to be a nice break from the same old ""My Life Sucks Give Me Money"" dribble that everyone else is singing.Obviously not for the hardcore, but this is something the contemporary listener can enjoy.",1
105,I purchased this as a Christmas gift and disappointef for the following reasons:1) purchased guranteed delivery by the 24th. Shoes arrived on the 27th.2) smiley face arrived partially attached3) placed on half hour wait to try and resolve by phone4) daughter disappointedDid not meet expectations and would never purchase anything from merchant again.,0
106,"You will see near identical reviews for these connectors and their RJ45 cousins.Getting clean connections with the jacket snugly up to the crimp point is often a challenge and sometimes requires and extra trimming step to get the length of the conductors ""just right"". Never again.While these connectors (and their tool) are a little more expensive than the generic variety, they are worth every penny. No blown crimps. No time wasted. No muttered curses as you clip the end of the cable and start over.If you need reliable connections and less aggravation, grab these.",1
107,"Used to use version 4 and bought CD Creator 6 only to encounter many problems, not to mention the interface was tedious and anything but intuitive. Got a copy of CD Creator 5, installed the updates and I'm really liking it so far. Very logical, easy to use and is similar to version 4 but far more full-featured. This is the best that Roxio has to offer. Forget version 6.",1
108,"This sets the tale of Beauty and the Beast in San Francisco around the time of the great earthquake and weaves all the elements you have come to expect from the Elemental Masters stories into it - unorthodox heroine, respectful-of-women hero, juxtaposed against depraved, bad men who are destroying the world in one way or the other. OK, I must like that story line cos I keep buying these. Only criticism is that the book seemed unfinished somehow, could have been fleshed out a little more, particularly at the end.",1
109,"This CD is one of my all time favorite's! I wouldn't say it breaks new ground, but it certainly digs a little deeper into its genre. Chris Martin is an fantastic frontman for Coldplay and his vocals are amazing! The entire CD is filled with excellent songs, but here are a few highlights:""Polotik"". My second favorite song on the CD.It starts out loud with banging drums, but halfway through, it switches to a soft, two minute instumental with heartmoving piano playing by Martin.""The Scientist"". My favorite of the CD.A haunting ballad of love, loss and forgiveness.The piano is extraordinary!Overall, the CD is never boring and I can listen to it all the way through without skipping any tracks.At times its quiet and refelctive, or loud and incredible.Chris Martin, Will Champion, John Buckland and Guy Berryman are truely geniuses of our time.I cannot wait to get their new CD and I am definetly going to atten their concert in September.",1
110,"Even today, although the book is somewhat dated (published in 1990) it's good for a fun time.By all means, if you can find a copy, get it.",1
111,"This is my 4th benefit cream shadow.....loved all of them except this one.It looked ""shrunken"" in the little pot, felt hard (not soft and cushiony feeling like my others)I turned it upsidedown, and becuase it was so dry and shrunken, it fell right out in my hand :(I tried to mash it up....to make it creamy....no luck.I am guessing it was old.I wanted to order more, but am now worried about getting any other old ones.Dont think I can return this since I tried making it creamy.",0
113,"When I was in High School I borrowed this from a friend, I couldn't wait to get home and listen to what I heard was a classic 70's rock album. I listened to it and, What is this?? This album sucks. Detroit Rock City and Shout It Out Loud are are the only OK songs, the rest of the songs are laughable and just embarrassing to hear. I even listened to the song samples here at Amazon before writing this review and I have to admit they still sound terrible. Many people say this is their best album, but I actually think KISS Love Gun is a little better, because the previous albums were awful.I respect all the KISS fans, but I think they are one of the most overrated bands in history. Other 70's bands were years ahead of KISS and had much better albums than Destroyer. I'm talking about Boston's debut album and Don't Look Back, Bon Scott Era AC/DC's Let There Be Rock, UFO's Phenomenon, other material by Deep Purple, Rush...Overrated Band, Overrated Album.",0
116,"I purchased the Systemworks 2005 and installed it. You also have the option to install the GoBack and Check It Diagnostic tools. I installed them both. One word of warning, I have Window XP Professional and the GoBack function and Windows computer restore are the same type of function. I wasn't aware of this before but having the 2 programs running at the same time is unnecessary and unfortunatly I found out the hard way. My computer would not reboot properly because of a GoBack error and there was no way for me to get to my desktop to disable the GoBack feature. Therefore I had to take my computer in for repairs which costs me an arm and a leg. Now my GoBack function is removed and I no longer have any problems. Hope this information will help someone in the future. Symantec certainly isn't going to warn you before hand.",1
117,"this album shocked me. i've never heard about this band before i found their song on a [Tribute to Depeche Mode] album - and it was the best song on the album (except Smashing Pumpkins of course!!!) whole album is the same. sounds-rarities, electronic and live instruments fusion. vocals are not the best although. last three songs reminded me Depeche Mode melodies and atmosphere but it was MUCH MORE better and non-pop than old mainstreamful DM. progressive electronic/ex-grunge people should buy this.",1
118,"I have given this album one star on the strength of the five star song, Life in a Northern Town. The rest of it gets nil. I was chasing LINT, but decided to buy the whole album on the strength of the previous glowing reviews. Alas, if it wasn't for LINT, this album would have faded into total obscurity long ago. Perhaps you may, like the other reviewers, find pleasure in the other songs on this collection. However, the chances are you might like one or two, realise that for the most part this is quite ordinary material, and settle for the fact that it was worth buying for LINT.",0
119,"Like soooo many other good folks on this site, I thought I was going to be seeing the new version of War of the Worlds with The Man - Tom Cruise. Ok, ok, I admit, maybe I should've looked more closely at Speilberg's dvd release date and realized that it's not for another month; I actually rented this from Blockbuster since they had placed it in their ""new releases"" category. Boy was I in for a ride from movie hell.This movie was possibly...no, was most defintely the worst thing I have ever had to endure. My 8th grade Hillel Day School version of Fiddler on the Roof was more exciting to watch...and it's on VHS from 1991 sans special effects! I was actually squirming on my couch in pain from watching this and only sat through the entirety to punish myself before Yom Kippur - Jewish Day of Atonement. Well, that was my venting about seeing this garbage.",0
120,"Norton 360 does not perform as well as System Works. After running Norton 360, I bought the latest Norton System Works and it found 168 problems in 9 areas. The really sad thing is that Norton 360 'looks' like it is working correctly. If you think 360 is working well, borrow a System Works disk from someone, run it, and you'll see the difference.A second, related problem with Norton 360 is that it doesn't provide you with any feedback, after it is done, you have no idea what happened. Given the hickups with Vista, I prefer to know when files have been successfully downloaded.",0
121,"This does have a nice pecan aroma, but not at all a sweetened pecan/pecan pie aroma or flavor. It's actually a lot stronger than any other flavored Green Mountain coffee K-cup I've tried--stronger coffee, less sweet, less obvious flavor than the others.",0
122,"This cd is not what I would at all expect from Josh Wink. It is a little bit harder and even on the experimental side. Not sure why Amazon says there are only 5 songs. According to the cd, there are 6.Here is the track Listing :1) Radio Edit2) Boom boom Satellite Remix3) gonstermacher longer remix4) optical remix - Probably the best mix on cd; jungle version5) original long version6) allen placer mix - pretty good version too w/ Techno Club FeelSong is called Simple ManThis is a Single and features the InterpretersVocals are by Herschel Gaer",0
